"id","name","location","round_1","round_2","round_3","round_4","round_4","time","total"
710,"Алканы","Саратов","4","2","4","4","-1","11:07:29183","13"
711,"Патриоты 67","Деревня Лосня","3","5","4","3","-2","11:07:04622","13"
712,"Всезнайки","Арзгир","5","5","2","3","-2","11:07:06892","13"
713,"Баклажанчики","Челябинск","4","-3","4","2","5","11:07:14515","12"
714,"КирюшА","Сальск","0","2","3","2","5","11:07:34797","12"
715,"Динозаврики","Сыктывкар","1","1","3","2","5","11:08:12419","12"
716,"Удача","с. Красное Краснинский район Липецкая область","2","1","3","1","5","11:07:29691","12"
717,"Знатоки своей страны","Сыктывкар","2","2","2","1","5","11:07:17816","12"
718,"АВА","Белорецк","4","0","1","3","4","11:07:20211","12"
719,"Dark Siders","Острогожск","0","0","6","2","4","11:07:11046","12"
720,"Люди в черном","Антрацит","0","0","6","2","4","11:07:39458","12"
721,"Кармалиновские казачки","ст. Кармалиновская","3","0","3","2","4","11:07:32939","12"
722,"БэГиС","Свердловск","3","2","2","1","4","11:07:26840","12"
723,"Темп","с.Черкасское, Павловский район, Воронежская область","2","4","1","1","4","11:07:33495","12"
724,"Фантастическая четверка","Лиски","3","3","1","1","4","11:08:04415","12"
725,"Шляпа","с. Воронцовка Павловского р-на Воронежской обл.","2","3","3","0","4","11:07:13149","12"
726,"Миньоны","Гатчина","3","2","3","0","4","11:06:55369","12"
727,"Ориентир","Симферополь","1","5","2","0","4","11:07:11763","12"
728,"умницы","Саратов","3","3","2","0","4","11:06:57818","12"
729,"лидеры72","с. Абаткое","3","3","2","0","4","11:07:56042","12"
730,"Двойняшки","Находка","4","1","4","0","3","11:07:26657","12"
731,"Молодёжка ОНФ (с.Батама)","Батама","3","3","3","0","3","11:07:21184","12"
732,"Высшая лига","Пос. Советское Руно","5","1","3","0","3","11:07:03595","12"
733,"Новаторы","Сватовский район, село Петровка","2","4","2","2","2","11:07:28666","12"
734,"МЕЧТАТЕЛИ","поселок Текстильщики","3","2","4","1","2","11:07:25902","12"
735,"КОШКИНСКИЕ ЗВЁЗДЫ","с Кошки","5","1","3","1","2","11:07:26730","12"
736,"Умнички благоразумнички","Саратов","2","5","2","1","2","11:06:24300","12"
737,"Умники","Набережные Челны","4","1","3","3","1","11:07:13407","12"
738,"Умницы-красавицы","Мурманск","3","5","3","0","1","11:07:12446","12"
739,"Крепость","Р. П Шатки","4","0","5","3","0","0","12"
740,"Прометеи","Арзамас","3","3","3","3","0","0","12"
741,"МБОУ ""Грачевская СОШ имени С. Ф Лиховидова"" Боковского района","хутор Грачев","4","2","4","2","0","0","12"
742,"Бобрики","Советский","0","0","0","3","8","11:07:07437","11"
743,"Лютик","Навашино","1","-1","2","1","8","11:07:05099","11"
744,"Лидеры нашего времени","Писаревка","0","-2","4","2","7","11:07:22197","11"
745,"Иланские ВП","Иланский","0","0","2","3","6","11:06:20057","11"
746,"Вымпел","Пенза","0","0","4","1","6","11:08:18093","11"
747,"Космонавты","Шахты","1","1","2","1","6","11:07:06006","11"
748,"И ты крут","с.Заводопетровское","1","2","2","1","5","11:07:36401","11"
749,"ЦАТТ","Чебоксары","2","1","2","1","5","11:07:51154","11"
750,"цфор","уват","2","1","2","2","4","11:07:25699","11"
751,"Корунд","Дзержинск","1","2","3","1","4","11:07:24086","11"
752,"Смешарики","Саратов","2","2","3","0","4","11:07:13853","11"
753,"Триумф","село Кильдеево Республика Татарстан","1","4","2","0","4","11:07:23292","11"
754,"вилюянки","вилюйск","0","3","2","3","3","11:07:08717","11"
755,"пуль","Антрацит","0","3","3","2","3","11:07:34869","11"
756,"Динамит","Саратов","3","0","3","2","3","11:07:33775","11"
757,"С.И.Л.А.","Полярный","4","1","1","2","3","11:07:15446","11"
758,"Колибр","Дмитриевка","2","2","3","1","3","11:07:42053","11"
759,"Мы Патриоты","Красноармейское","3","1","3","1","3","11:07:02311","11"
760,"Дети Селезневки","пгт Селезневка, Перевальский район, ЛНР","4","2","1","1","3","11:07:24485","11"
761,"Тоболячки","Тюменская область Тобольский район п. Сетово","2","3","3","0","3","11:07:14399","11"
762,"Лепестки","Свердловск","5","0","3","0","3","11:07:14277","11"
763,"Юный Патриот!","Саратов","2","1","3","3","2","11:07:55270","11"
764,"Сила в правде","Поселок 1-го отделения совхоза победа","0","3","4","2","2","11:06:24661","11"
765,"Частичка России","Кваркено","0","4","4","1","2","11:07:44384","11"
766,"Актив","Краснодарский край Темрюкский район станица Ахтанизовская","2","3","3","1","2","11:07:35450","11"
767,"Доверие","Набережные Челны","4","3","1","1","2","11:07:30977","11"
768,"ЧТСГХ С11-21","Чебоксары","1","4","4","0","2","11:07:07770","11"
769,"Великие Русские","Лутугино","3","3","3","0","2","11:08:32589","11"
770,"Экстрим","Бармино","3","3","2","2","1","11:07:53786","11"
771,"Ультра совместные умные мысли (USUM) squad","Саратов","2","4","3","1","1","11:06:03621","11"
772,"Палочка Твикс","с.Большой Солтан,Рыбно-Слободский р-н, РТ","4","4","1","1","1","11:07:22951","11"
773,"Матрёшки","Гуково","4","0","3","4","0","0","11"
774,"Кошечки","Абакан","5","2","0","4","0","11:07:11945","11"
775,"Fe46","П.Новоандросово","4","1","3","3","0","11:07:34176","11"
776,"Семёновцы","с. Семёновское","2","4","5","0","0","0","11"
777,"Фортуна","Данков","1","6","4","0","0","11:07:04705","11"
778,"Дети России 2022","Саратов","3","4","4","0","0","0","11"
779,"Мстители","Тюмень","3","6","2","0","0","0","11"
780,"МЕДИА","Ноябрьск","6","0","2","4","-1","11:07:23491","11"
781,"Эйнштейны2004","Находка","1","1","1","2","5","11:07:30000","10"
782,"ARMY","Рт, Рыбно-Слободский район, село Биектау","0","0","4","1","5","11:07:11841","10"
783,"МКУ ""Молодёжный центр "" Светлана""","с. Сюмси","1","0","4","0","5","11:07:17186","10"
784,"Методисты","с. Волово","2","1","2","0","5","11:07:17090","10"
785,"Плотина","Москва","3","-2","2","3","4","11:07:20538","10"
786,"Восьмиклассники","с. Лосево Павловского р-на Воронежской области","3","2","1","0","4","11:07:09962","10"
787,"мв","Шахты","0","3","4","0","3","11:07:47098","10"
788,"фанатки ринатика","Чебоксары","3","0","4","0","3","11:07:16704","10"
789,"Святая троица","Острогожск","3","1","2","2","2","11:07:22345","10"
790,"Шторм","Чмыровка","1","3","3","1","2","11:07:42251","10"
791,"Три товарища","Нижний Новгород","5","-1","3","1","2","11:07:03997","10"
792,"крабики","Ухта","2","3","3","0","2","11:07:15586","10"
793,"Эволюция","Краснодон","2","5","1","0","2","11:07:28669","10"
794,"Умники","Кунгурский муниципальный округ","1","2","3","3","1","11:07:13407","10"
795,"Зеленорощинская библиотека-филиал №21","Курск","0","5","2","2","1","11:07:20002","10"
796,"Девятая рота","Свердловск","3","0","5","1","1","11:07:35484","10"
797,"Дружба","С. КРИВСКОЕ","1","1","3","5","0","11:09:45967","10"
798,"Крутышка","Козловка","0","2","6","2","0","0","10"
799,"Взлет","Саратов","2","3","3","2","0","11:07:18018","10"
800,"Молодой Раненбург","Чаплыгин","2","3","5","0","0","0","10"
801,"ВСЕГДА РЯДОМ","Терский","2","4","4","0","0","0","10"
802,"Ромашки","Вутабоси","3","3","4","0","0","11:01:43942","10"
803,"Вектор Севера","Гаджиево","2","5","3","0","0","0","10"
804,"Северяне","Кировск","6","1","3","0","0","0","10"
805,"Капельки","с.Радищево, Пензенская область","4","0","4","3","-1","11:06:52630","10"
806,"Юнармейцы Сибири","Ужурский район с. Михайловка","2","4","5","0","-1","11:07:19179","10"
807,"Цвет Нации","Нижний Козьмяш","0","0","1","2","6","11:06:38895","9"
808,"Удача","Куйбышево","1","0","2","1","5","11:07:29691","9"
809,"Орловские Дети России","Орлрвка, Кировский район","0","0","2","4","3","11:07:09295","9"
810,"ГБПОУ ВО «ВЮТ»","Воронеж","2","-2","2","4","3","11:07:24548","9"
811,"Муген","п.Муген","0","1","3","2","3","11:07:44518","9"
812,"Оптимисты","Острогожск","2","0","2","2","3","11:08:20891","9"
813,"Успех","Село Хохлово","1","2","2","1","3","11:07:19002","9"
814,"Чак-Чаки","Казань","1","3","2","0","3","11:06:50268","9"
815,"Далековцы","Далекое","2","2","2","0","3","11:07:20335","9"
816,"Донцы","Сальск","0","2","3","2","2","11:07:50076","9"
817,"ЮРГЕНБУРГ","СЕЛО ЮРГИНСКОЕ","2","2","1","2","2","11:07:10030","9"
818,"Супер Дуэт","пгт Каменск","3","2","1","1","2","11:07:11958","9"
819,"Патриоты России","Улан-Удэ","3","0","4","0","2","11:07:32327","9"
820,"Мбоу сш №14","Арзамас","1","3","3","0","2","11:06:59254","9"
821,"Задоринки","с. Новосредненсеое","2","2","3","0","2","11:07:01832","9"
822,"Лучики","Лебедянь","3","1","3","0","2","11:07:13583","9"
823,"Незабудки","Светлый Дол","1","4","2","0","2","11:07:13283","9"
824,"НЛО","с. Тарбагатай","0","2","3","3","1","11:07:08194","9"
825,"Жидиловцы","Мичуринск","2","1","3","2","1","11:07:22976","9"
826,"Шумбут","Рыбная Слобода","1","3","4","0","1","11:07:14680","9"
827,"Эрудиты","Елец","4","1","3","0","1","11:07:20015","9"
828,"школа №4","Нововоронеж","4","2","2","0","1","11:07:05588","9"
829,"Хибинские самураи","Кировск","5","0","3","1","0","11:07:25127","9"
830,"Росток","Д. Шумерля","3","2","4","0","0","0","9"
831,"Триколорки","Магнитогорск","3","3","3","0","0","0","9"
832,"9 А МОУ СОШ школа N 82 (Саратов)","Саратов","5","2","2","0","0","0","9"
833,"Пионеры","Шихазаны","4","5","0","0","0","0","9"
834,"МБУ Молодежный центр","Г.о.г. Выкса","3","2","3","2","-1","11:06:58882","9"
835,"Богатырь","Краснодон","0","0","2","1","5","11:07:32753","8"
836,"Союз школьников","Тахта","0","0","2","1","5","11:08:43499","8"
837,"Будущее село","Казань","1","0","3","0","4","11:07:48406","8"
838,"Белозерка","Курган","1","2","1","1","3","11:07:08282","8"
839,"Оптимисты","д. Ершово","2","1","2","0","3","11:08:20891","8"
840,"Колос","село Никольское","2","2","1","0","3","11:07:08108","8"
841,"Перфекционистки","Горно-Алтайск","2","2","1","0","3","11:07:17758","8"
842,"Смелые","Мурманск","2","2","2","0","2","11:07:07761","8"
843,"Читающие","Липецкая область Воловский район с.Волово ул.Советская д.55","2","2","2","1","1","11:07:30808","8"
844,"ВМФ","Москва","2","2","3","0","1","11:07:17014","8"
845,"Шеморбаш","Шеморбаш","1","4","2","0","1","11:06:33991","8"
846,"Росияночка","Железногорск","0","0","3","5","0","0","8"
847,"Гренада","Самара","1","1","5","1","0","11:07:21975","8"
848,"Султан","Рыбно-Слободский район, д. Тябердино-Челны","3","0","4","1","0","11:07:22299","8"
849,"Шесть рук","Моршанск","4","0","3","1","0","0","8"
850,"Патриоты РОССИИ 48","Лебедянь","3","2","2","1","0","11:07:04705","8"
851,"Всеведы","Новохопёрский район, село Пыховка","2","1","5","0","0","0","8"
852,"Маленькие звёздочки","Саратов","3","0","5","0","0","0","8"
853,"Берегиня","Пгт Кильдинстрой","4","0","4","0","0","0","8"
854,"Стрельцы","Шахты","3","2","3","0","0","0","8"
855,"Голубая лагуна","Гатчина","3","3","2","0","0","0","8"
856,"Полиглот","Чебоксары","4","2","2","0","0","0","8"
857,"Паруса","Нововоронеж","3","4","1","0","0","0","8"
858,"Молодёжный центр","Голышманово","0","0","3","0","4","11:07:09265","7"
859,"Вершина","с.Шетнево-Тулуши","2","1","1","0","3","11:07:15416","7"
860,"Патриоты-19","Майкоп","4","-2","2","1","2","11:07:07761","7"
861,"Витязь(Мороз)","Никольск","0","3","1","1","2","11:07:15537","7"
862,"Не победимые!","Нижегородская обл, п. Новый Мир","1","0","4","0","2","11:08:03136","7"
863,"ЭкоЛебедянь","Лебедянь","0","3","2","0","2","11:07:26811","7"
864,"Читалкины","пос.им. Крупской","2","1","2","0","2","11:07:19032","7"
865,"Мы россия!","оленевка","3","1","1","0","2","11:07:40312","7"
866,"МБУК ""Ольшанский ЦКД""","с. Ольшанец","2","1","3","0","1","11:06:28356","7"
867,"Star","Сергач","2","2","2","0","1","11:07:02980","7"
868,"Пресс-центр Диалог","Санкт-Петербург","2","3","1","0","1","11:07:05083","7"
869,"Вверх","С.Большой Машляк","2","-1","3","3","0","11:07:54708","7"
870,"Кадеты ЧКК","Чебоксары","0","3","4","0","0","0","7"
871,"Андромеда","Краснодон","1","3","3","0","0","0","7"
872,"Феникс22","Антрацит и Антрацитовский район","3","3","1","0","0","11:09:07212","7"
873,"Дом дружбы народов","Нижнекамск","3","4","0","0","0","0","7"
874,"Ольшанцы","с. Нижний Ольшан Острогожского района","4","3","0","0","0","0","7"
875,"Сказочный патруль","С. Алымка","5","2","0","0","0","0","7"
876,"69 высота","Гаджиево","5","3","1","0","-2","11:03:20665","7"
877,"Открытые сердца","станица Ленинградская","1","0","3","0","2","11:07:22874","6"
878,"Ленинградская молодежь","станица Ленинградская","1","0","3","0","2","11:07:26572","6"
879,"Флагоносцы","Краснодар","3","-2","3","2","0","11:07:02966","6"
880,"«Карапузцы»","Тоцкое Второе","2","0","4","0","0","11:07:23206","6"
881,"РСМ","Магадан","3","0","3","0","0","0","6"
882,"Капитаны","Краснодар","1","3","2","0","0","11:05:59358","6"
883,"Патриоты Отечества","Домодедово","3","2","1","0","0","0","6"
884,"ZOV","ЛНР, пгт.Семейкино","1","0","5","2","-2","11:07:10569","6"
885,"послушники","Ровеньки","0","0","0","1","4","11:07:32190","5"
886,"Любознательные","д. Денисово","2","-2","3","0","2","11:07:18150","5"
887,"Платина","Москва","0","0","1","3","1","11:07:13107","5"
888,"Созвездие","Ясенцы","0","0","0","5","0","0","5"
889,"Новое поколение","Мичуринский район","2","-3","3","3","0","0","5"
890,"Девчата","РТ.Рыбная-Слобода, пгт.Рыбная Слобода","0","0","3","2","0","0","5"
891,"первосвященники","ровеньки","0","0","5","0","0","0","5"
892,"Россия в сердце","Ровеньки","0","2","3","0","0","0","5"
893,"Библио-феи","с.Павловка Марксовский район Саратовская область","2","0","3","0","0","11:06:10522","5"
894,"ТЭК","Щекино","1","2","2","0","0","11:07:40322","5"
895,"СТЭЛ","Предгорный муниципальный округ","4","-1","2","0","0","0","5"
896,"Пассаж","Шадринск","2","2","1","0","0","11:07:17292","5"
897,"Звёздочки","р. п. Ветлужский","3","1","1","0","0","0","5"
897,"beaver team","Новопавловск","3","1","1","0","0","0","5"
898,"ЕЛСБУ","Елец","3","2","0","0","0","0","5"
899,"Сосновый","Сосновый","5","0","0","0","0","0","5"
900,"8 А","Майкоп","1","1","3","1","-1","11:07:10499","5"
901,"Правоохранители","Находка","3","2","1","0","-1","11:07:25761","5"
902,"Феникс","Изобильный","0","2","3","2","-2","11:07:14301","5"
903,"Бардак","Острогожск","0","0","5","3","-3","11:07:37389","5"
904,"Победа","Башмаково","2","-2","6","2","-3","11:07:26421","5"
905,"Победители по жизни","Ровеньки","3","-5","2","1","3","11:06:57614","4"
906,"Импровизация","х.Западный","0","0","1","0","3","11:07:16387","4"
907,"Символы России","Ирклиевская","1","1","1","0","1","11:06:37327","4"
908,"Дворецкие","Петропавловск-Камчатский","0","0","2","2","0","0","4"
909,"Мы - Россияне","г.Ангарск","1","0","1","2","0","0","4"
910,"Апельсиновый фреш","пгт Большая Ижора","3","-3","3","1","0","11:08:06014","4"
911,"Русский мир","ЛНР, пгт Ящиково","0","0","4","0","0","0","4"
912,"Подводная лодка","Саратов","2","0","2","0","0","0","4"
913,"Нарушители Правил","Ильинка","1","2","1","0","0","0","4"
914,"Книголюбы","Отрадный","0","4","0","0","0","0","4"
915,"Максимум","с. Петропавловка, Острогожский район, Воронежская область","1","3","0","0","0","0","4"
916,"Малокаменцы","Каменский район хутор Малая Каменка","2","2","0","0","0","0","4"
917,"Без паники","Прокопьевск","4","0","0","0","0","0","4"
917,"Лидеры","Елецкий район","4","0","0","0","0","0","4"
917,"МБОУ СОШ № 71 г. Челябинска","Челябинск","4","0","0","0","0","0","4"
917,"Михеевка","Михеевка","4","0","0","0","0","0","4"
917,"МолодёжьРомоданово","Республика Мордовия Ромодановский район","4","0","0","0","0","0","4"
917,"Подводники","село Вязноватовка","4","0","0","0","0","0","4"
917,"Селенга","пгт. Селенгинск","4","0","0","0","0","0","4"
917,"семицветик","Елец","4","0","0","0","0","0","4"
918,"Итачи","Первоуральск","2","2","0","1","-1","11:07:42180","4"
919,"Таганай","Златоуст","2","-5","1","2","3","11:06:57344","3"
920,"Импульс Добра","Первомайск","0","0","1","0","2","11:07:36455","3"
921,"Девчонки","Оренбургская область","0","-2","1","3","1","11:07:22332","3"
922,"Профи62","Чебоксары","0","0","0","2","1","11:07:06327","3"
923,"три мушкетера","с Морозовка Меловский рн ЛНР","0","0","3","0","0","0","3"
924,"«Пламя»","Курск","3","-3","3","0","0","0","3"
925,"Достойные","С.Мокрое","0","2","1","0","0","0","3"
926,"Орлы","Шарыповский район, село Ораки","1","1","1","0","0","11:08:14113","3"
927,"Белки","Пенза","0","3","0","0","0","0","3"
928,"Затейники","село Алан-Полян","2","1","0","0","0","11:07:07049","3"
929,"<Богатырь","Краснодон","3","0","0","0","0","0","3"
929,"Магнат","Моршанск","3","0","0","0","0","0","3"
929,"МБОУ ""Сергачская СОШ #4""","Сергач","3","0","0","0","0","0","3"
929,"МБОУ Можарская СШ","Село Меньшие Можары Сараевского района","3","0","0","0","0","0","3"
929,"Народные стикеры","Саратов","3","0","0","0","0","0","3"
930,"Рассвет","Бабушкин","0","0","0","0","2","11:06:57892","2"
931,"GG","Сертолово","2","-3","3","0","0","0","2"
932,"беляши","казань","0","1","1","0","0","0","2"
932,"За Россию-21ЭТ11","Пенза","0","1","1","0","0","0","2"
933,"Атака титанов","Антрацит","2","0","0","0","0","0","2"
933,"Константа","Константиновка","2","0","0","0","0","0","2"
933,"Могучие орлы","Ульяновск","2","0","0","0","0","0","2"
933,"НСШ им М.П.Прокопьева","Кукмор","2","0","0","0","0","0","2"
933,"Сильные вместе","Ровеньки","2","0","0","0","0","0","2"
933,"Чистое","Курганская область село Чистое","2","0","0","0","0","0","2"
933,"Super girl","Кочкурово","2","0","0","0","0","0","2"
934,"МБУК""Болховской ЦКД""","Село Болховское, Задонский район, Липецкая область","2","-1","2","1","-2","11:07:16122","2"
935,"Одиннадцатиклассники","Воронеж","3","-2","2","2","-3","11:07:18927","2"
936,"Юные эрудиты","Кунгур","3","-1","1","2","-3","11:06:26868","2"
937,"Огненные тапки","Теньгушево","4","-1","2","0","-3","11:06:20462","2"
938,"Соратники","д.Водолазова","0","3","2","1","-4","11:07:16882","2"
939,"Прометей","р.п. Красные Баки","1","-3","0","0","3","11:07:22966","1"
940,"мы можем","д.Бердибяково","0","0","0","0","1","11:07:51695","1"
941,"Гром","Старая казинка","0","0","1","0","0","0","1"
941,"Оберег","МБОУ СШ п.Леск","0","0","1","0","0","0","1"
942,"Волонтеры","Воронеж","1","-1","1","0","0","0","1"
943,"Два Юльца","Воронеж","0","1","0","0","0","0","1"
944,"«Каскад»","Енисейский район, пос. Новокаргино","1","0","0","0","0","0","1"
944,"гуманитарий","антрацит","1","0","0","0","0","0","1"
944,"Доброхоты","Лиецкая область Задонский район село Рогожино","1","0","0","0","0","0","1"
944,"Крымский район","Крымск","1","0","0","0","0","0","1"
944,"На высоте","Апшеронск","1","0","0","0","0","0","1"
944,"Респект","Арзамас","1","0","0","0","0","0","1"
944,"Росиночки","Пенза","1","0","0","0","0","0","1"
944,"Скорняково","Скорняково Задонский район","1","0","0","0","0","0","1"
945,"Атяшево","Атяшево","3","0","2","3","-7","11:06:30895","1"
946,"Совушки","Усмань","1","-3","1","0","1","11:07:04087","0"
947,"Жуки","Гуково","0","0","0","0","0","0","0"
947,"Лисы","Шаранга","0","0","0","0","0","0","0"
947,"Мы вместе","Урахча","0","0","0","0","0","0","0"
948,"Туровские Витязи","Воронежская область Нижнедевицкий район село Верхнее Турово","3","-3","0","0","0","0","0"
949,"Олимп","с.Трёхсельское","2","-2","2","0","-2","11:04:14124","0"
950,"Беркут 2","Карасук","5","-1","2","0","-6","11:07:04748","0"
951,"Крепкие парни","Тольятти","1","-3","1","0","0","11:07:29686","-1"
952,"Мудрецы","Саратов","0","-1","0","0","0","0","-1"
953,"Молнеиеносцы","Рыная Слобода","0","2","2","0","-5","11:07:05946","-1"
954,"Рамонскийлицей","Воронеж","0","-2","0","0","0","0","-2"
955,"Романтики","Симферополь","0","-5","0","0","0","0","-5"
956,"ЦТС ННГУ им. Лобачевского","Нижний Новгород","0","0","0","0","-6","11:07:48795","-6"
957,"Рубин2","Чебоксары","4","-3","1","0","-9","11:07:13942","-7"
958,"акулы","курган","1","1","3","0","-12","11:02:47129","-7"
959,"Девчата вперёд","Рыбно-Слободский район,дер.Тябердино Челны","0","-4","0","0","-7","11:07:35753","-11"
